treatment,concentration,unit,root length,unit
BMC,1,g/L,1.601,cm
BMC,1,g/L,0.784,cm
BMC,1,g/L,0.622,cm
BMC,1,g/L,1.317,cm
BMC,1,g/L,1.207,cm
BMC,1,g/L,1.053,cm
BMC,1,g/L,1.838,cm
BMC,1,g/L,0.872,cm
BMC,1,g/L,1.405,cm
BMC,1,g/L,1.102,cm
BMC,1,g/L,1.209,cm
BMC,1,g/L,1.264,cm
BMC,1,g/L,1.087,cm
BMC,1,g/L,0.953,cm
BMC,1,g/L,1.178,cm
BMC,1,g/L,0.678,cm
BMC,1,g/L,,cm
BMC,1,g/L,,cm
BMC,1,g/L,,cm
BMC,1,g/L,,cm
BMC,1,g/L,,cm
BMC,1,g/L,,cm
BMC,1,g/L,,cm
BMC,1,g/L,,cm
BMC,1,g/L,,cm
BMC,1,g/L,,cm
BMC,1,g/L,,cm
BMC,1,g/L,,cm
BMC,1,g/L,,cm
BMC,1,g/L,,cm
BMC,1,g/L,,cm
BMC,1,g/L,,cm
BMC,1,g/L,,cm
BMC,1,g/L,,cm
BMC,1,g/L,,cm
BMC,1,g/L,,cm
BMC,1,g/L,,cm
BMC,1,g/L,,cm
BMC,1,g/L,,cm
BMC,1,g/L,,cm
BMC,1,g/L,,cm
BMC,1,g/L,,cm
BMC,1,g/L,,cm
BMC,1,g/L,,cm
BMC,1,g/L,,cm
BMC,1,g/L,,cm
BMC,1,g/L,,cm
BMC,1,g/L,,cm
BMC,1,g/L,,cm
BMC,1,g/L,,cm
BMC,4,g/L,1.932,cm
BMC,4,g/L,1.156,cm
BMC,4,g/L,2.087,cm
BMC,4,g/L,1.922,cm
BMC,4,g/L,2.06,cm
BMC,4,g/L,2.901,cm
BMC,4,g/L,1.584,cm
BMC,4,g/L,1.988,cm
BMC,4,g/L,3.114,cm
BMC,4,g/L,1.79,cm
BMC,4,g/L,2.842,cm
BMC,4,g/L,1.401,cm
BMC,4,g/L,0.715,cm
BMC,4,g/L,0.951,cm
BMC,4,g/L,1.079,cm
BMC,4,g/L,3.908,cm
BMC,4,g/L,1.096,cm
BMC,4,g/L,1.349,cm
BMC,4,g/L,2.702,cm
BMC,4,g/L,1.532,cm
BMC,4,g/L,2.866,cm
BMC,4,g/L,1.68,cm
BMC,4,g/L,1.432,cm
BMC,4,g/L,1.407,cm
BMC,4,g/L,1.519,cm
BMC,4,g/L,3.229,cm
BMC,4,g/L,1.4,cm
BMC,4,g/L,1.483,cm
BMC,4,g/L,2.507,cm
BMC,4,g/L,1.183,cm
BMC,4,g/L,1.828,cm
BMC,4,g/L,1.107,cm
BMC,4,g/L,2.954,cm
BMC,4,g/L,1.843,cm
BMC,4,g/L,1.961,cm
BMC,4,g/L,1.232,cm
BMC,4,g/L,2.616,cm
BMC,4,g/L,0.793,cm
BMC,4,g/L,1.11,cm
BMC,4,g/L,2.956,cm
BMC,4,g/L,0.839,cm
BMC,4,g/L,,cm
BMC,4,g/L,,cm
BMC,4,g/L,,cm
BMC,4,g/L,,cm
BMC,4,g/L,,cm
BMC,4,g/L,,cm
BMC,4,g/L,,cm
BMC,4,g/L,,cm
BMC,4,g/L,,cm
BMC,4,g/L,,cm
BMC,4,g/L,,cm
BMC,4,g/L,,cm
BMC,4,g/L,,cm
BMC,4,g/L,,cm
BMC,4,g/L,,cm
BMC,4,g/L,,cm
BMC,4,g/L,,cm
BMC,4,g/L,,cm
